pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.982246,40.762753,-73.929497,40.826057,2013-04-03 18:41:21
-73.917908,40.771282,-73.930115,40.82679,2013-04-14 19:45:59
-73.978821,40.777485,-73.928474,40.829353,2013-04-04 19:24:55
-74.002945,40.760494,-73.93026,40.826824,2013-04-04 19:15:37
-73.964546,40.76432,-73.929474,40.825954,2013-04-04 18:55:43
-73.996239,40.764839,-73.931709,40.828274,2013-04-01 12:46:34
-73.987656,40.759998,-73.930534,40.826813,2013-04-17 18:41:00
-73.977074,40.755516,-73.929817,40.82666,2013-04-17 18:51:00
-73.987976,40.754929,-73.929581,40.82616,2013-04-18 18:41:00
-73.964447,40.76392,-73.930435,40.826893,2013-04-18 19:19:00
-73.959816,40.798252,-73.929932,40.826706,2013-04-18 18:45:00
-73.885674,40.773151,-73.928009,40.830231,2013-04-18 18:49:00
-73.939301,40.805275,-73.927727,40.830032,2013-04-18 19:25:00
-73.972061,40.749924,-73.923912,40.827492,2013-04-18 19:25:00
-73.983894,40.756973,-73.92968,40.828712,2013-04-18 19:29:00
-73.982414,40.767342,-73.928497,40.829311,2013-04-18 19:14:00
-73.946686,40.780437,-73.930199,40.826797,2013-04-18 19:11:00
-73.976471,40.739861,-73.930618,40.82629,2013-04-18 18:46:00
-73.989235,40.768341,-73.930275,40.826862,2013-04-18 18:54:00
-73.982704,40.766956,-73.92997,40.828655,2013-04-18 18:58:00
-73.984711,40.759144,-73.927025,40.825676,2013-04-18 18:47:00
-73.950294,40.786819,-73.927605,40.830154,2013-04-18 18:53:00
-73.916985,40.770981,-73.93045,40.826859,2013-04-18 18:57:00
-73.971077,40.79285,-73.931274,40.828262,2013-04-18 19:06:00
-73.993813,40.745747,-73.93013,40.826782,2013-04-18 19:06:00
-73.993423,40.74176,-73.930061,40.826572,2013-04-18 19:01:00
-73.921638,40.733952,-73.92981,40.826607,2013-04-18 19:05:00
-73.864403,40.77029,-73.928467,40.830032,2013-04-18 19:04:00
-73.946709,40.780373,-73.925148,40.827595,2013-07-07 13:31:28
-73.965645,40.800335,-73.924911,40.82769,2013-07-07 12:57:12
-73.98101,40.779572,-73.928619,40.829247,2013-07-07 13:05:36
-73.972031,40.782066,-73.929283,40.828854,2013-07-07 12:35:59
-73.967957,40.802387,-73.929039,40.828964,2013-07-07 13:02:56
-73.961861,40.810509,-73.929268,40.828869,2013-04-30 19:22:00
-73.945274,40.833862,-73.928307,40.829437,2013-04-30 18:43:18
-73.991341,40.755997,-73.928101,40.829632,2013-04-29 18:43:15
-73.969101,40.763714,-73.93029,40.826878,2013-04-29 18:59:53
-74.01178,40.707787,-73.929688,40.826462,2013-04-29 19:03:00
-73.991165,40.760567,-73.930855,40.828327,2013-04-29 18:39:00
-73.963699,40.774075,-73.929008,40.829998,2013-04-29 18:39:24
-73.967819,40.762711,-73.92981,40.826607,2013-04-29 18:53:44
-73.985092,40.762054,-73.929848,40.826683,2013-04-29 18:59:11
-73.978302,40.763779,-73.924744,40.827827,2013-04-30 19:03:22
-73.977776,40.756634,-73.929787,40.826553,2013-04-30 18:37:06
-73.958122,40.815521,-73.928436,40.829365,2013-04-16 18:51:30
-73.870934,40.773441,-73.930008,40.826824,2013-04-17 18:51:44
-73.971893,40.794582,-73.930603,40.827236,2013-04-16 19:21:52
-73.996552,40.753551,-73.928802,40.829063,2013-04-25 19:18:18
-73.979408,40.743946,-73.93029,40.826885,2013-08-12 19:14:00
-73.9729,40.758862,-73.930061,40.826763,2013-08-12 19:12:00
-73.979034,40.764507,-73.930115,40.826817,2013-08-12 19:30:00
-73.984306,40.760792,-73.92952,40.828796,2013-08-12 18:59:00
-73.95076,40.770813,-73.930527,40.826714,2013-08-12 18:57:00
-73.997345,40.736622,-73.929794,40.826561,2013-08-12 19:11:00
-73.95591,40.784832,-73.930389,40.826851,2013-08-12 19:19:00
-74.015938,40.71508,-73.929672,40.826347,2013-08-12 19:14:00
-73.86274,40.768978,-73.929924,40.826706,2013-08-12 19:21:00
-73.953918,40.772938,-73.92997,40.826756,2013-08-12 18:38:00
-74.004044,40.742908,-73.928558,40.829296,2013-08-12 18:47:00
-73.977524,40.75206,-73.929771,40.826599,2013-08-12 18:41:00
-73.985146,40.758999,-73.928505,40.829369,2013-08-12 18:47:00
-73.98069,40.757908,-73.930008,40.826763,2013-08-12 18:46:00
-73.975716,40.744659,-73.929756,40.826527,2013-08-12 18:48:00
-73.959862,40.762638,-73.930016,40.826752,2013-08-12 18:52:00
-73.971123,40.755661,-73.925346,40.826946,2013-08-12 18:58:00
-73.992218,40.758938,-73.929672,40.826431,2013-08-12 18:50:00
-73.974854,40.758064,-73.92968,40.826591,2013-08-12 19:05:00
-73.976822,40.780071,-73.928772,40.829166,2013-08-12 19:03:00
-73.974686,40.76506,-73.92981,40.826618,2013-08-12 19:10:00
-73.966743,40.807842,-73.928566,40.829262,2013-08-12 19:15:00
-73.990181,40.756451,-73.929703,40.82642,2013-08-12 19:04:00
-73.866524,40.771057,-73.930077,40.826824,2013-08-13 18:38:00
-73.961578,40.767681,-73.929688,40.826393,2013-08-13 18:38:00
-73.959808,40.813824,-73.928665,40.829185,2013-08-13 19:27:00
-73.967857,40.801296,-73.928909,40.829041,2013-08-13 19:01:00
-73.987366,40.747276,-73.928879,40.825275,2013-08-13 18:49:00
-73.977188,40.755699,-73.927979,40.830246,2013-08-13 18:54:00
-73.970695,40.764477,-73.927834,40.829933,2013-08-13 18:55:00
-73.981819,40.778198,-73.929123,40.828976,2013-08-12 19:10:00
-73.991714,40.750038,-73.930145,40.826828,2013-08-13 18:55:00
-73.971848,40.797321,-73.932693,40.828186,2013-08-13 18:56:00
-73.972145,40.757248,-73.929779,40.82653,2013-08-13 18:57:00
-73.983894,40.756477,-73.929588,40.826248,2013-08-13 19:26:00
-73.997284,40.756855,-73.92688,40.830994,2013-08-13 18:57:00
-73.983292,40.754768,-73.927956,40.829926,2013-08-13 19:02:00
-73.969734,40.794872,-73.928551,40.829292,2013-08-13 19:14:00
-73.979858,40.74892,-73.929703,40.826443,2013-08-13 19:24:00
-73.9944,40.745903,-73.929893,40.826687,2013-08-13 18:38:00
-73.99192,40.764599,-73.929283,40.828846,2013-08-13 18:37:00
-73.873131,40.773949,-73.927048,40.825729,2013-09-07 12:37:28
-73.973969,40.76474,-73.930099,40.826817,2013-07-05 18:45:25
-73.978996,40.762398,-73.929565,40.826172,2013-07-05 18:53:36
-73.97876,40.777557,-73.926941,40.827888,2013-07-05 19:00:20
-73.988945,40.754169,-73.929779,40.826572,2013-07-05 19:06:57
-73.944527,40.832085,-73.929565,40.828735,2013-07-05 18:48:04
-73.98008,40.760841,-73.92836,40.828903,2013-07-05 18:54:01
-73.954674,40.78653,-73.930008,40.826775,2013-07-05 18:47:47
-73.988724,40.759052,-73.928337,40.829365,2013-07-05 19:22:03
-73.985741,40.761784,-73.928093,40.829655,2013-07-05 18:52:51
-73.988594,40.774147,-73.925102,40.82716,2013-07-05 18:49:28
-73.970924,40.757221,-73.928314,40.82943,2013-07-05 19:17:43
-73.983322,40.730362,-73.929802,40.826595,2013-07-05 19:12:48
-73.988884,40.77776,-73.929665,40.826286,2013-07-05 19:21:08
-73.92836,40.800465,-73.929657,40.826241,2013-07-05 19:04:57
