pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.955498,40.768597,-73.844444,40.757545,2013-09-10 19:28:00
-73.979515,40.744377,-73.844917,40.758549,2013-05-21 18:58:00
-73.947685,40.774994,-73.848595,40.758171,2013-05-22 13:26:00
-73.963608,40.757401,-73.844727,40.758194,2013-05-22 13:26:00
-73.977921,40.766361,-73.848938,40.757763,2013-05-26 19:41:00
-73.981728,40.757854,-73.846031,40.754528,2013-05-22 13:10:00
-73.871696,40.770897,-73.843887,40.761768,2013-05-20 19:00:00
-73.975914,40.765659,-73.844719,40.758018,2013-05-21 18:52:00
-73.986908,40.76112,-73.843224,40.76207,2013-05-26 20:33:00
-73.999702,40.73328,-73.852051,40.757416,2013-05-26 20:11:00
-73.863602,40.769913,-73.845131,40.758881,2013-05-24 19:26:00
-73.983681,40.761066,-73.84465,40.757957,2013-05-20 19:39:00
-74.012947,40.709126,-73.848732,40.757618,2013-06-13 13:38:00
-73.776848,40.645363,-73.846252,40.754543,2013-06-12 19:19:00
-74.004395,40.723976,-73.848755,40.757668,2013-06-15 13:03:00
-73.939133,40.748238,-73.84639,40.754345,2013-06-11 19:10:00
-73.959274,40.716328,-73.84893,40.757408,2013-06-14 19:19:00
-73.989388,40.700809,-73.844803,40.758297,2013-06-14 19:37:00
-73.973465,40.763885,-73.848625,40.757252,2013-06-16 13:18:00
-73.789322,40.642479,-73.849365,40.757214,2013-06-16 13:00:00
-73.96244,40.763184,-73.848518,40.753754,2013-06-12 19:02:00
-73.910461,40.775936,-73.845413,40.758415,2013-06-16 13:15:00
-73.929337,40.807713,-73.848961,40.7579,2013-06-15 13:33:00
-73.950714,40.723614,-73.844902,40.758575,2013-06-15 12:44:00
-73.788185,40.641483,-73.849373,40.757229,2013-06-14 19:33:00
-73.866074,40.771309,-73.844795,40.758331,2013-06-12 18:51:00
-74.005867,40.740032,-73.849228,40.753616,2013-06-11 18:46:00
-73.997635,40.691845,-73.848862,40.757988,2013-06-16 13:24:00
-74.003853,40.725601,-73.843758,40.756298,2013-06-15 12:57:00
-73.956718,40.77116,-73.844978,40.758686,2013-06-15 13:28:00
-73.954704,40.781731,-73.846085,40.759884,2013-06-11 19:20:00
-74.006111,40.73077,-73.844543,40.757748,2013-06-15 12:50:00
-74.0065,40.739002,-73.843605,40.756256,2013-06-15 12:57:00
-73.912544,40.77478,-73.848854,40.757511,2013-06-11 19:37:00
-73.987808,40.746902,-73.844452,40.757629,2013-06-15 12:52:00
-73.972679,40.782413,-73.84507,40.758877,2013-06-14 18:58:00
-73.98407,40.768406,-73.846123,40.75985,2013-06-11 18:50:00
-73.974243,40.757725,-73.843819,40.756382,2013-07-24 19:10:48
-73.843842,40.756554,-73.843842,40.756554,2013-07-24 19:36:33
-73.982368,40.691925,-73.848785,40.757656,2013-07-24 19:21:04
-73.995628,40.764618,-73.848724,40.757549,2013-07-24 19:05:33
-73.872986,40.773933,-73.844421,40.757442,2013-07-24 18:53:37
-73.976006,40.750587,-73.844559,40.757786,2013-07-24 19:25:46
-73.951134,40.7826,-73.848862,40.757549,2013-07-25 12:17:58
-73.973061,40.755703,-73.846161,40.760036,2013-07-25 11:41:40
-73.9534,40.767494,-73.844467,40.757465,2013-07-25 12:23:56
-73.961861,40.773273,-73.847809,40.75872,2013-07-25 11:49:34
