"|","name","lines","lat","line","lng"
"FRESH POND ROAD-68TH AVENUE","Fresh Pond Rd","M","40.706115","Myrtle Avenue","-73.895559"
"34TH STREET - PENN STATION","34 St-Penn Station","A,C,E","40.752766","8th Avenue","-73.992596"
"GRAND ST-BUSHWICK AVE","Grand St","L","40.711912","Canarsie","-73.940433"
"UTICA AVENUE","Crown Hts-Utica Av","3,4","40.668960","Eastern Parkway","-73.931675"
"BEVERLEY ROAD -EAST 15TH ST","Beverly Rd","B,Q","40.644272","Brighton","-73.964528"
"AVENUE X-MCDONALD AVENUE","Avenue X","F","40.590266","Culver","-73.974051"
"109TH STREET-LIBERTY AVENUE","111 St","A","40.683972","Liberty Avenue","-73.832816"
"JUNIUS STREET","Junius St","3","40.663426","New Lots","-73.902636"
"BOWERY STREET-DELANCEY ST","Bowery","J,Z","40.720291","Nassau Loop","-73.993411"
"BOYD STREET-88TH STREET","88 St","A","40.679828","Liberty Avenue","-73.850401"
"WINTHROP ST-NOSTRAND AVE","Winthrop St","2,5","40.657184","Nostrand","-73.949976"
"PARK PLACE-FRANKLIN AVENUE","Park Pl","FS","40.675208","Franklin Shuttle","-73.957591"
"ROCKAWAY AVENUE","Rockaway Av","3","40.662401","New Lots","-73.908809"
"AVENUE H-EAST 16TH STREET","Avenue H","B,Q","40.629930","Brighton","-73.961477"
"WESTCHESTER SQUARE","Westchester Sq-East Tremont Av","6","40.840128","Pelham","-73.842875"
"AVENUE U-MCDONALD AVENUE","Avenue U","F","40.596897","Culver","-73.973137"
"167TH ST-GRAND CONCOURSE","167 St","B,D","40.834609","Concourse","-73.917245"
"103RD ST-CENTRAL PARK WEST","103 St","B,C","40.796263","8th Avenue","-73.961610"
"NOSTRAND AVENUE","Nostrand Av","3","40.669711","Eastern Parkway","-73.950247"
"ALLERTON AV-WHITE PLAINS RD","Allerton Av","2,5","40.865257","White Plains","-73.867246"
"104TH STREET-LIBERTY AVENUE","104 St","A","40.681994","Liberty Avenue","-73.836742"
