p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
MN09,Morningside Heights,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14
BX35,Morrisania-Melrose,MN19,Turtle Bay-East Midtown,14
BX35,Morrisania-Melrose,BX36,University Heights-Morris Heights,14
BX35,Morrisania-Melrose,BX13,Co-op City,14
BX35,Morrisania-Melrose,BX26,Highbridge,14
BX39,Mott Haven-Port Morris,QN20,Ridgewood,14
BX39,Mott Haven-Port Morris,BK42,Flatbush,14
BX39,Mott Haven-Port Morris,BK69,Clinton Hill,14
BX39,Mott Haven-Port Morris,BK35,Stuyvesant Heights,14
BX39,Mott Haven-Port Morris,QN17,Forest Hills,14
BX41,Mount Hope,MN09,Morningside Heights,14
QN51,Murray Hill,JFK,John F Kennedy International Airport,14
QN51,Murray Hill,QN70,Astoria,14
QN26,North Corona,MN40,Upper East Side-Carnegie Hill,14
QN26,North Corona,QN37,Kew Gardens Hills,14
BX22,North Riverdale-Fieldston-Riverdale,BX43,Norwood,14
BK73,North Side-South Side,BX31,Allerton-Pelham Gardens,14
BK73,North Side-South Side,QN12,Hammels-Arverne-Edgemere,14
BX43,Norwood,BX63,West Concourse,14
BX43,Norwood,MN17,Midtown-Midtown South,14
BX43,Norwood,BX03,Eastchester-Edenwald-Baychester,14
BX43,Norwood,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,14
BK79,Ocean Hill,MN28,Lower East Side,14
BK46,Ocean Parkway South,MN21,Gramercy,14
QN71,Old Astoria,QN03,Springfield Gardens South-Brookville,14
QN71,Old Astoria,BX62,Woodlawn-Wakefield,14
QN71,Old Astoria,QN43,Bellerose,14
QN71,Old Astoria,BX59,Westchester-Unionport,14
QN56,Ozone Park,MN14,Lincoln Square,14
QN56,Ozone Park,QN12,Hammels-Arverne-Edgemere,14
BK37,Park Slope-Gowanus,BX41,Mount Hope,14
BK37,Park Slope-Gowanus,QN43,Bellerose,14
BK37,Park Slope-Gowanus,BX99,park-cemetery-etc-Bronx,14
BK37,Park Slope-Gowanus,BX34,Melrose South-Mott Haven North,14
BX46,Parkchester,MN33,East Harlem South,14
BX10,Pelham Bay-Country Club-City Island,BX99,park-cemetery-etc-Bronx,14
BX49,Pelham Parkway,BX08,West Farms-Bronx River,14
BK64,Prospect Heights,QN38,Pomonok-Flushing Heights-Hillcrest,14
BK64,Prospect Heights,BK27,Bath Beach,14
BK60,Prospect Lefferts Gardens-Wingate,MN04,Hamilton Heights,14
BK60,Prospect Lefferts Gardens-Wingate,QN27,East Elmhurst,14
BK60,Prospect Lefferts Gardens-Wingate,BK93,Starrett City,14
QN62,Queensboro Hill,MN25,Battery Park City-Lower Manhattan,14
QN68,Queensbridge-Ravenswood-Long Island City,BK43,Midwood,14
QN68,Queensbridge-Ravenswood-Long Island City,BK44,Madison,14
QN18,Rego Park,QN43,Bellerose,14
QN18,Rego Park,BK35,Stuyvesant Heights,14
QN18,Rego Park,QN08,St. Albans,14
QN54,Richmond Hill,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,14
QN54,Richmond Hill,QN19,Glendale,14
QN54,Richmond Hill,BK73,North Side-South Side,14
BK96,Rugby-Remsen Village,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,14
BX52,Schuylerville-Throgs Neck-Edgewater Park,JFK,John F Kennedy International Airport,14
BK21,Seagate-Coney Island,MN17,Midtown-Midtown South,14
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK28,Bensonhurst West,14
BX55,Soundview-Bruckner,MN15,Clinton,14
BX55,Soundview-Bruckner,BX37,Van Nest-Morris Park-Westchester Square,14
BX09,Soundview-Castle Hill-Clason Point-Harding Park,MN11,Central Harlem South,14
BX09,Soundview-Castle Hill-Clason Point-Harding Park,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,14
QN55,South Ozone Park,BK35,Stuyvesant Heights,14
QN55,South Ozone Park,BK76,Greenpoint,14
QN03,Springfield Gardens South-Brookville,BK99,park-cemetery-etc-Brooklyn,14
QN03,Springfield Gardens South-Brookville,MN06,Manhattanville,14
QN03,Springfield Gardens South-Brookville,BK96,Rugby-Remsen Village,14
QN03,Springfield Gardens South-Brookville,QN56,Ozone Park,14
QN03,Springfield Gardens South-Brookville,BK31,Bay Ridge,14
BX29,Spuyten Duyvil-Kingsbridge,JFK,John F Kennedy International Airport,14
QN72,Steinway,QN44,Glen Oaks-Floral Park-New Hyde Park,14
QN72,Steinway,QN01,South Jamaica,14
BK35,Stuyvesant Heights,QN54,Richmond Hill,14
BK35,Stuyvesant Heights,QN61,Jamaica,14
MN50,Stuyvesant Town-Cooper Village,QN23,College Point,14
MN50,Stuyvesant Town-Cooper Village,BK27,Bath Beach,14
MN50,Stuyvesant Town-Cooper Village,BK50,Canarsie,14
MN50,Stuyvesant Town-Cooper Village,QN42,Oakland Gardens,14
BK34,Sunset Park East,BK68,Fort Greene,14
BK32,Sunset Park West,QN68,Queensbridge-Ravenswood-Long Island City,14
BK32,Sunset Park West,BK96,Rugby-Remsen Village,14
BX36,University Heights-Morris Heights,MN24,SoHo-TriBeCa-Civic Center-Little Italy,14
BX36,University Heights-Morris Heights,BX09,Soundview-Castle Hill-Clason Point-Harding Park,14
BX36,University Heights-Morris Heights,LGA,La Guardia Airport,14
MN40,Upper East Side-Carnegie Hill,SI22,West New Brighton-New Brighton-St. George,14
BX28,Van Cortlandt Village,MN03,Central Harlem North-Polo Grounds,14
BX37,Van Nest-Morris Park-Westchester Square,BX06,Belmont,14
MN35,Washington Heights North,BX59,Westchester-Unionport,14
MN36,Washington Heights South,BK58,Flatlands,14
BX63,West Concourse,BX31,Allerton-Pelham Gardens,14
BX08,West Farms-Bronx River,BX44,Williamsbridge-Olinville,14
BX08,West Farms-Bronx River,BX52,Schuylerville-Throgs Neck-Edgewater Park,14
BX08,West Farms-Bronx River,BX39,Mott Haven-Port Morris,14
BX59,Westchester-Unionport,MN14,Lincoln Square,14
BX59,Westchester-Unionport,MN36,Washington Heights South,14
BX59,Westchester-Unionport,BX41,Mount Hope,14
BX59,Westchester-Unionport,MN03,Central Harlem North-Polo Grounds,14
BX59,Westchester-Unionport,MN22,East Village,14
BX59,Westchester-Unionport,MN35,Washington Heights North,14
BK72,Williamsburg,BK81,Brownsville,14
BK40,Windsor Terrace,BK91,East Flatbush-Farragut,14
BK40,Windsor Terrace,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14
QN53,Woodhaven,BK61,Crown Heights North,14
QN53,Woodhaven,QN26,North Corona,14
BX62,Woodlawn-Wakefield,BX28,Van Cortlandt Village,14
QN63,Woodside,QN41,Fresh Meadows-Utopia,14
QN63,Woodside,QN02,Springfield Gardens North,14
QN63,Woodside,BX06,Belmont,14
QN63,Woodside,BX09,Soundview-Castle Hill-Clason Point-Harding Park,14
