p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
BK34,Sunset Park East,BK21,Seagate-Coney Island,2
BK34,Sunset Park East,MN35,Washington Heights North,2
BK34,Sunset Park East,QN55,South Ozone Park,2
BK34,Sunset Park East,SI36,Old Town-Dongan Hills-South Beach,2
BK34,Sunset Park East,QN21,Middle Village,2
BK34,Sunset Park East,QN20,Ridgewood,2
BK34,Sunset Park East,SI08,Grymes Hill-Clifton-Fox Hills,2
BK34,Sunset Park East,BK46,Ocean Parkway South,2
BK34,Sunset Park East,BK82,East New York,2
BK34,Sunset Park East,BK23,West Brighton,2
BK34,Sunset Park East,QN54,Richmond Hill,2
BK34,Sunset Park East,MN03,Central Harlem North-Polo Grounds,2
BK34,Sunset Park East,QN71,Old Astoria,2
BK34,Sunset Park East,BK83,Cypress Hills-City Line,2
BK32,Sunset Park West,SI25,Oakwood-Oakwood Beach,2
BK32,Sunset Park West,BX49,Pelham Parkway,2
BK32,Sunset Park West,BX62,Woodlawn-Wakefield,2
BK32,Sunset Park West,QN19,Glendale,2
BK32,Sunset Park West,BX03,Eastchester-Edenwald-Baychester,2
BK32,Sunset Park West,SI28,Port Richmond,2
BK32,Sunset Park West,QN18,Rego Park,2
BK32,Sunset Park West,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,2
BK32,Sunset Park West,BX07,Bronxdale,2
BK32,Sunset Park West,SI08,Grymes Hill-Clifton-Fox Hills,2
BK32,Sunset Park West,BX43,Norwood,2
BK32,Sunset Park West,QN46,Bayside-Bayside Hills,2
BK32,Sunset Park West,QN12,Hammels-Arverne-Edgemere,2
BK32,Sunset Park West,BK93,Starrett City,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI14,Grasmere-Arrochar-Ft. Wadsworth,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN15,Clinton,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI07,Westerleigh,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,LGA,La Guardia Airport,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI08,Grymes Hill-Clifton-Fox Hills,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN21,Gramercy,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN27,Chinatown,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN14,Lincoln Square,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,BK31,Bay Ridge,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN25,Battery Park City-Lower Manhattan,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI36,Old Town-Dongan Hills-South Beach,2
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,MN31,Lenox Hill-Roosevelt Island,2
BX36,University Heights-Morris Heights,QN54,Richmond Hill,2
BX36,University Heights-Morris Heights,QN28,Jackson Heights,2
BX36,University Heights-Morris Heights,QN71,Old Astoria,2
BX36,University Heights-Morris Heights,QN29,Elmhurst,2
BX36,University Heights-Morris Heights,QN63,Woodside,2
BX36,University Heights-Morris Heights,QN27,East Elmhurst,2
BX36,University Heights-Morris Heights,QN31,Hunters Point-Sunnyside-West Maspeth,2
BX36,University Heights-Morris Heights,QN26,North Corona,2
MN12,Upper West Side,BX98,Rikers Island,2
MN12,Upper West Side,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,2
MN12,Upper West Side,SI28,Port Richmond,2
BX28,Van Cortlandt Village,QN49,Whitestone,2
BX28,Van Cortlandt Village,BK25,Homecrest,2
BX28,Van Cortlandt Village,QN27,East Elmhurst,2
BX28,Van Cortlandt Village,BX75,Crotona Park East,2
BX28,Van Cortlandt Village,BX55,Soundview-Bruckner,2
BX28,Van Cortlandt Village,BX35,Morrisania-Melrose,2
BX28,Van Cortlandt Village,QN17,Forest Hills,2
BX28,Van Cortlandt Village,QN70,Astoria,2
BX28,Van Cortlandt Village,QN26,North Corona,2
BX37,Van Nest-Morris Park-Westchester Square,BX29,Spuyten Duyvil-Kingsbridge,2
BX37,Van Nest-Morris Park-Westchester Square,QN53,Woodhaven,2
BX37,Van Nest-Morris Park-Westchester Square,QN28,Jackson Heights,2
BX37,Van Nest-Morris Park-Westchester Square,BX40,Fordham South,2
BX37,Van Nest-Morris Park-Westchester Square,MN28,Lower East Side,2
BX37,Van Nest-Morris Park-Westchester Square,BK61,Crown Heights North,2
MN35,Washington Heights North,QN01,South Jamaica,2
MN35,Washington Heights North,QN52,East Flushing,2
MN35,Washington Heights North,QN47,Ft. Totten-Bay Terrace-Clearview,2
MN35,Washington Heights North,BK43,Midwood,2
MN35,Washington Heights North,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2
MN35,Washington Heights North,QN45,Douglas Manor-Douglaston-Little Neck,2
MN35,Washington Heights North,QN56,Ozone Park,2
MN35,Washington Heights North,QN57,Lindenwood-Howard Beach,2
MN35,Washington Heights North,QN62,Queensboro Hill,2
MN35,Washington Heights North,BK81,Brownsville,2
MN35,Washington Heights North,BK26,Gravesend,2
MN35,Washington Heights North,BK29,Bensonhurst East,2
MN36,Washington Heights South,QN02,Springfield Gardens North,2
MN36,Washington Heights South,QN43,Bellerose,2
MN36,Washington Heights South,QN66,Laurelton,2
MN36,Washington Heights South,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2
MN36,Washington Heights South,BK23,West Brighton,2
MN36,Washington Heights South,BK82,East New York,2
MN36,Washington Heights South,QN57,Lindenwood-Howard Beach,2
MN36,Washington Heights South,SI22,West New Brighton-New Brighton-St. George,2
BK23,West Brighton,MN21,Gramercy,2
BK23,West Brighton,QN55,South Ozone Park,2
BK23,West Brighton,BK64,Prospect Heights,2
BK23,West Brighton,MN14,Lincoln Square,2
BK23,West Brighton,BK46,Ocean Parkway South,2
BK23,West Brighton,LGA,La Guardia Airport,2
BK23,West Brighton,BK37,Park Slope-Gowanus,2
BK23,West Brighton,MN12,Upper West Side,2
BX63,West Concourse,QN41,Fresh Meadows-Utopia,2
BX63,West Concourse,BK63,Crown Heights South,2
BX63,West Concourse,BK79,Ocean Hill,2
BX63,West Concourse,BK40,Windsor Terrace,2
BX63,West Concourse,QN19,Glendale,2
BX63,West Concourse,BK33,Carroll Gardens-Columbia Street-Red Hook,2
BX63,West Concourse,QN53,Woodhaven,2
BX63,West Concourse,BK58,Flatlands,2
BX63,West Concourse,BK85,East New York (Pennsylvania Ave),2
BX63,West Concourse,QN62,Queensboro Hill,2
BX63,West Concourse,BK81,Brownsville,2
BX63,West Concourse,QN33,Cambria Heights,2
BX08,West Farms-Bronx River,QN28,Jackson Heights,2
BX08,West Farms-Bronx River,QN68,Queensbridge-Ravenswood-Long Island City,2
BX08,West Farms-Bronx River,BX40,Fordham South,2
BX08,West Farms-Bronx River,QN27,East Elmhurst,2
BX08,West Farms-Bronx River,BK90,East Williamsburg,2
SI22,West New Brighton-New Brighton-St. George,MN14,Lincoln Square,2
SI22,West New Brighton-New Brighton-St. George,MN15,Clinton,2
SI22,West New Brighton-New Brighton-St. George,MN25,Battery Park City-Lower Manhattan,2
SI22,West New Brighton-New Brighton-St. George,SI28,Port Richmond,2
SI22,West New Brighton-New Brighton-St. George,BK31,Bay Ridge,2
MN23,West Village,BX98,Rikers Island,2
BX59,Westchester-Unionport,BX03,Eastchester-Edenwald-Baychester,2
BX59,Westchester-Unionport,BX22,North Riverdale-Fieldston-Riverdale,2
BX59,Westchester-Unionport,BX29,Spuyten Duyvil-Kingsbridge,2
BX59,Westchester-Unionport,BK73,North Side-South Side,2
BX59,Westchester-Unionport,BX30,Kingsbridge Heights,2
BX59,Westchester-Unionport,BK61,Crown Heights North,2
BX59,Westchester-Unionport,QN50,Elmhurst-Maspeth,2
BX59,Westchester-Unionport,QN63,Woodside,2
BX59,Westchester-Unionport,BK90,East Williamsburg,2
BX59,Westchester-Unionport,QN23,College Point,2
BX59,Westchester-Unionport,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2
BX59,Westchester-Unionport,QN29,Elmhurst,2
BX59,Westchester-Unionport,QN71,Old Astoria,2
BX59,Westchester-Unionport,BK76,Greenpoint,2
BX59,Westchester-Unionport,QN60,Kew Gardens,2
SI07,Westerleigh,MN27,Chinatown,2
SI07,Westerleigh,SI54,Great Kills,2
SI07,Westerleigh,SI08,Grymes Hill-Clifton-Fox Hills,2
SI07,Westerleigh,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2
SI07,Westerleigh,MN32,Yorkville,2
SI07,Westerleigh,SI22,West New Brighton-New Brighton-St. George,2
SI07,Westerleigh,MN23,West Village,2
QN49,Whitestone,BX17,East Tremont,2
QN49,Whitestone,QN37,Kew Gardens Hills,2
QN49,Whitestone,QN42,Oakland Gardens,2
QN49,Whitestone,QN38,Pomonok-Flushing Heights-Hillcrest,2
QN49,Whitestone,MN32,Yorkville,2
QN49,Whitestone,QN27,East Elmhurst,2
QN49,Whitestone,MN28,Lower East Side,2
QN49,Whitestone,MN34,East Harlem North,2
QN49,Whitestone,BX35,Morrisania-Melrose,2
QN49,Whitestone,BX37,Van Nest-Morris Park-Westchester Square,2
QN49,Whitestone,MN22,East Village,2
QN49,Whitestone,QN44,Glen Oaks-Floral Park-New Hyde Park,2
QN49,Whitestone,QN20,Ridgewood,2
QN49,Whitestone,BX55,Soundview-Bruckner,2
QN49,Whitestone,QN60,Kew Gardens,2
QN49,Whitestone,BX10,Pelham Bay-Country Club-City Island,2
QN49,Whitestone,BX01,Claremont-Bathgate,2
QN49,Whitestone,MN04,Hamilton Heights,2
QN49,Whitestone,BX43,Norwood,2
BX44,Williamsbridge-Olinville,BK50,Canarsie,2
BX44,Williamsbridge-Olinville,MN25,Battery Park City-Lower Manhattan,2
BX44,Williamsbridge-Olinville,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2
BX44,Williamsbridge-Olinville,BX63,West Concourse,2
BX44,Williamsbridge-Olinville,BX52,Schuylerville-Throgs Neck-Edgewater Park,2
BX44,Williamsbridge-Olinville,BX46,Parkchester,2
BX44,Williamsbridge-Olinville,MN20,Murray Hill-Kips Bay,2
BX44,Williamsbridge-Olinville,BX37,Van Nest-Morris Park-Westchester Square,2
BX44,Williamsbridge-Olinville,MN28,Lower East Side,2
BX44,Williamsbridge-Olinville,QN61,Jamaica,2
BX44,Williamsbridge-Olinville,BK90,East Williamsburg,2
BX44,Williamsbridge-Olinville,LGA,La Guardia Airport,2
BK72,Williamsburg,QN76,Baisley Park,2
BK72,Williamsburg,BX35,Morrisania-Melrose,2
BK72,Williamsburg,BX59,Westchester-Unionport,2
BK72,Williamsburg,BK21,Seagate-Coney Island,2
BK72,Williamsburg,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2
BK72,Williamsburg,BX08,West Farms-Bronx River,2
BK72,Williamsburg,QN57,Lindenwood-Howard Beach,2
BK72,Williamsburg,BX49,Pelham Parkway,2
BK72,Williamsburg,QN23,College Point,2
BK72,Williamsburg,BX17,East Tremont,2
BK72,Williamsburg,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2
BK72,Williamsburg,QN08,St. Albans,2
BK40,Windsor Terrace,MN35,Washington Heights North,2
BK40,Windsor Terrace,QN19,Glendale,2
BK40,Windsor Terrace,QN53,Woodhaven,2
BK40,Windsor Terrace,BX30,Kingsbridge Heights,2
BK40,Windsor Terrace,BX13,Co-op City,2
BK40,Windsor Terrace,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,2
BK40,Windsor Terrace,QN35,Briarwood-Jamaica Hills,2
BK40,Windsor Terrace,SI37,Stapleton-Rosebank,2
BK40,Windsor Terrace,QN55,South Ozone Park,2
BK40,Windsor Terrace,QN99,park-cemetery-etc-Queens,2
QN53,Woodhaven,BK81,Brownsville,2
QN53,Woodhaven,QN08,St. Albans,2
QN53,Woodhaven,BX41,Mount Hope,2
QN53,Woodhaven,BK64,Prospect Heights,2
QN53,Woodhaven,BK42,Flatbush,2
QN53,Woodhaven,BK50,Canarsie,2
QN53,Woodhaven,MN01,Marble Hill-Inwood,2
QN53,Woodhaven,QN07,Hollis,2
QN53,Woodhaven,QN49,Whitestone,2
QN53,Woodhaven,QN34,Queens Village,2
QN53,Woodhaven,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2
QN53,Woodhaven,QN03,Springfield Gardens South-Brookville,2
QN53,Woodhaven,QN02,Springfield Gardens North,2
QN53,Woodhaven,BK85,East New York (Pennsylvania Ave),2
QN53,Woodhaven,QN51,Murray Hill,2
QN53,Woodhaven,MN03,Central Harlem North-Polo Grounds,2
QN53,Woodhaven,BK34,Sunset Park East,2
QN53,Woodhaven,BK96,Rugby-Remsen Village,2
QN53,Woodhaven,BX37,Van Nest-Morris Park-Westchester Square,2
QN53,Woodhaven,QN06,Jamaica Estates-Holliswood,2
QN53,Woodhaven,BK26,Gravesend,2
BX62,Woodlawn-Wakefield,BX49,Pelham Parkway,2
BX62,Woodlawn-Wakefield,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2
BX62,Woodlawn-Wakefield,BX27,Hunts Point,2
BX62,Woodlawn-Wakefield,QN31,Hunters Point-Sunnyside-West Maspeth,2
BX62,Woodlawn-Wakefield,MN09,Morningside Heights,2
BX62,Woodlawn-Wakefield,QN68,Queensbridge-Ravenswood-Long Island City,2
BX62,Woodlawn-Wakefield,MN28,Lower East Side,2
BX62,Woodlawn-Wakefield,BX09,Soundview-Castle Hill-Clason Point-Harding Park,2
BX62,Woodlawn-Wakefield,QN03,Springfield Gardens South-Brookville,2
BX62,Woodlawn-Wakefield,MN23,West Village,2
BX62,Woodlawn-Wakefield,LGA,La Guardia Airport,2
QN63,Woodside,SI08,Grymes Hill-Clifton-Fox Hills,2
QN63,Woodside,BK91,East Flatbush-Farragut,2
QN63,Woodside,SI14,Grasmere-Arrochar-Ft. Wadsworth,2
QN63,Woodside,BK93,Starrett City,2
QN63,Woodside,SI11,Charleston-Richmond Valley-Tottenville,2
QN63,Woodside,BK23,West Brighton,2
MN32,Yorkville,SI32,Rossville-Woodrow,2
MN32,Yorkville,SI11,Charleston-Richmond Valley-Tottenville,2
BX99,park-cemetery-etc-Bronx,MN50,Stuyvesant Town-Cooper Village,2
BX99,park-cemetery-etc-Bronx,QN99,park-cemetery-etc-Queens,2
BX99,park-cemetery-etc-Bronx,MN28,Lower East Side,2
BX99,park-cemetery-etc-Bronx,QN51,Murray Hill,2
BX99,park-cemetery-etc-Bronx,QN70,Astoria,2
BX99,park-cemetery-etc-Bronx,BK09,Brooklyn Heights-Cobble Hill,2
BX99,park-cemetery-etc-Bronx,QN68,Queensbridge-Ravenswood-Long Island City,2
BX99,park-cemetery-etc-Bronx,BX34,Melrose South-Mott Haven North,2
BX99,park-cemetery-etc-Bronx,BK75,Bedford,2
BK99,park-cemetery-etc-Brooklyn,BX06,Belmont,2
BK99,park-cemetery-etc-Brooklyn,QN44,Glen Oaks-Floral Park-New Hyde Park,2
BK99,park-cemetery-etc-Brooklyn,BX05,Bedford Park-Fordham North,2
BK99,park-cemetery-etc-Brooklyn,BX40,Fordham South,2
BK99,park-cemetery-etc-Brooklyn,SI36,Old Town-Dongan Hills-South Beach,2
BK99,park-cemetery-etc-Brooklyn,BX35,Morrisania-Melrose,2
BK99,park-cemetery-etc-Brooklyn,SI37,Stapleton-Rosebank,2
BK99,park-cemetery-etc-Brooklyn,QN27,East Elmhurst,2
BK99,park-cemetery-etc-Brooklyn,BX34,Melrose South-Mott Haven North,2
BK99,park-cemetery-etc-Brooklyn,BK93,Starrett City,2
BK99,park-cemetery-etc-Brooklyn,BX14,East Concourse-Concourse Village,2
BK99,park-cemetery-etc-Brooklyn,QN51,Murray Hill,2
BK99,park-cemetery-etc-Brooklyn,QN19,Glendale,2
BK99,park-cemetery-etc-Brooklyn,BX41,Mount Hope,2
BK99,park-cemetery-etc-Brooklyn,SI32,Rossville-Woodrow,2
BK99,park-cemetery-etc-Brooklyn,QN62,Queensboro Hill,2
MN99,park-cemetery-etc-Manhattan,SI54,Great Kills,2
MN99,park-cemetery-etc-Manhattan,SI11,Charleston-Richmond Valley-Tottenville,2
QN99,park-cemetery-etc-Queens,BX01,Claremont-Bathgate,2
QN99,park-cemetery-etc-Queens,BX03,Eastchester-Edenwald-Baychester,2
QN99,park-cemetery-etc-Queens,BK23,West Brighton,2
QN99,park-cemetery-etc-Queens,BX08,West Farms-Bronx River,2
QN99,park-cemetery-etc-Queens,BX35,Morrisania-Melrose,2
QN99,park-cemetery-etc-Queens,BX17,East Tremont,2
QN99,park-cemetery-etc-Queens,BK21,Seagate-Coney Island,2
QN99,park-cemetery-etc-Queens,BX13,Co-op City,2
QN99,park-cemetery-etc-Queens,BX34,Melrose South-Mott Haven North,2
QN99,park-cemetery-etc-Queens,BK93,Starrett City,2
BX31,Allerton-Pelham Gardens,BX26,Highbridge,1
BX31,Allerton-Pelham Gardens,BX39,Mott Haven-Port Morris,1
BX31,Allerton-Pelham Gardens,QN51,Murray Hill,1
BX31,Allerton-Pelham Gardens,BK58,Flatlands,1
BX31,Allerton-Pelham Gardens,BX41,Mount Hope,1
BX31,Allerton-Pelham Gardens,QN61,Jamaica,1
BX31,Allerton-Pelham Gardens,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1
BX31,Allerton-Pelham Gardens,BX22,North Riverdale-Fieldston-Riverdale,1
BX31,Allerton-Pelham Gardens,BK81,Brownsville,1
BX31,Allerton-Pelham Gardens,BX35,Morrisania-Melrose,1
BX31,Allerton-Pelham Gardens,QN48,Auburndale,1
BX31,Allerton-Pelham Gardens,QN22,Flushing,1
BX31,Allerton-Pelham Gardens,BK09,Brooklyn Heights-Cobble Hill,1
BX31,Allerton-Pelham Gardens,QN70,Astoria,1
BX31,Allerton-Pelham Gardens,QN02,Springfield Gardens North,1
BX31,Allerton-Pelham Gardens,MN22,East Village,1
BX31,Allerton-Pelham Gardens,BX28,Van Cortlandt Village,1
BX31,Allerton-Pelham Gardens,MN99,park-cemetery-etc-Manhattan,1
BX31,Allerton-Pelham Gardens,MN25,Battery Park City-Lower Manhattan,1
BX31,Allerton-Pelham Gardens,MN14,Lincoln Square,1
BX31,Allerton-Pelham Gardens,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1
BX31,Allerton-Pelham Gardens,MN36,Washington Heights South,1
BX31,Allerton-Pelham Gardens,MN04,Hamilton Heights,1
BX31,Allerton-Pelham Gardens,BX30,Kingsbridge Heights,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN31,Lenox Hill-Roosevelt Island,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,BK76,Greenpoint,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,SI32,Rossville-Woodrow,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,SI22,West New Brighton-New Brighton-St. George,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN17,Midtown-Midtown South,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN25,Battery Park City-Lower Manhattan,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN12,Upper West Side,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN40,Upper East Side-Carnegie Hill,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN23,West Village,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,MN15,Clinton,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,SI11,Charleston-Richmond Valley-Tottenville,1
SI48,Arden Heights,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1
SI48,Arden Heights,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1
SI48,Arden Heights,SI25,Oakwood-Oakwood Beach,1
SI48,Arden Heights,MN31,Lenox Hill-Roosevelt Island,1
QN70,Astoria,SI25,Oakwood-Oakwood Beach,1
QN70,Astoria,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1
QN70,Astoria,BX98,Rikers Island,1
QN48,Auburndale,MN40,Upper East Side-Carnegie Hill,1
QN48,Auburndale,QN18,Rego Park,1
QN48,Auburndale,QN05,Rosedale,1
QN48,Auburndale,MN25,Battery Park City-Lower Manhattan,1
QN48,Auburndale,MN12,Upper West Side,1
QN48,Auburndale,MN20,Murray Hill-Kips Bay,1
QN48,Auburndale,MN03,Central Harlem North-Polo Grounds,1
QN48,Auburndale,BK61,Crown Heights North,1
QN48,Auburndale,MN32,Yorkville,1
QN48,Auburndale,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1
QN48,Auburndale,QN61,Jamaica,1
QN48,Auburndale,QN56,Ozone Park,1
QN48,Auburndale,BK73,North Side-South Side,1
QN48,Auburndale,BX59,Westchester-Unionport,1
QN48,Auburndale,MN11,Central Harlem South,1
QN48,Auburndale,MN04,Hamilton Heights,1
QN48,Auburndale,QN23,College Point,1
QN48,Auburndale,QN19,Glendale,1
QN48,Auburndale,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1
QN48,Auburndale,QN44,Glen Oaks-Floral Park-New Hyde Park,1
QN48,Auburndale,MN21,Gramercy,1
QN48,Auburndale,MN99,park-cemetery-etc-Manhattan,1
QN48,Auburndale,BK82,East New York,1
QN48,Auburndale,QN54,Richmond Hill,1
QN48,Auburndale,QN08,St. Albans,1
QN76,Baisley Park,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1
QN76,Baisley Park,BK58,Flatlands,1
QN76,Baisley Park,BX26,Highbridge,1
QN76,Baisley Park,BX75,Crotona Park East,1
QN76,Baisley Park,BX10,Pelham Bay-Country Club-City Island,1
QN76,Baisley Park,QN46,Bayside-Bayside Hills,1
QN76,Baisley Park,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1
QN76,Baisley Park,SI05,New Springville-Bloomfield-Travis,1
QN76,Baisley Park,BX06,Belmont,1
QN76,Baisley Park,QN43,Bellerose,1
QN76,Baisley Park,QN42,Oakland Gardens,1
QN76,Baisley Park,BK79,Ocean Hill,1
QN76,Baisley Park,QN44,Glen Oaks-Floral Park-New Hyde Park,1
QN76,Baisley Park,BX27,Hunts Point,1
QN76,Baisley Park,BK26,Gravesend,1
QN76,Baisley Park,BX99,park-cemetery-etc-Bronx,1
QN76,Baisley Park,BK23,West Brighton,1
QN76,Baisley Park,QN19,Glendale,1
QN76,Baisley Park,QN12,Hammels-Arverne-Edgemere,1
QN76,Baisley Park,BK93,Starrett City,1
QN76,Baisley Park,QN48,Auburndale,1
QN76,Baisley Park,BK44,Madison,1
QN76,Baisley Park,BX31,Allerton-Pelham Gardens,1
QN76,Baisley Park,BX44,Williamsbridge-Olinville,1
QN76,Baisley Park,BK46,Ocean Parkway South,1
QN76,Baisley Park,BX08,West Farms-Bronx River,1
BK27,Bath Beach,SI25,Oakwood-Oakwood Beach,1
BK27,Bath Beach,QN28,Jackson Heights,1
BK27,Bath Beach,QN17,Forest Hills,1
BK27,Bath Beach,SI14,Grasmere-Arrochar-Ft. Wadsworth,1
BK27,Bath Beach,BX63,West Concourse,1
BK27,Bath Beach,MN11,Central Harlem South,1
BK27,Bath Beach,BK90,East Williamsburg,1
BK27,Bath Beach,BK60,Prospect Lefferts Gardens-Wingate,1
BK27,Bath Beach,BK85,East New York (Pennsylvania Ave),1
BK27,Bath Beach,QN63,Woodside,1
BK27,Bath Beach,BK79,Ocean Hill,1
BK27,Bath Beach,SI54,Great Kills,1
BK27,Bath Beach,MN33,East Harlem South,1
BK27,Bath Beach,BK35,Stuyvesant Heights,1
BK27,Bath Beach,BK68,Fort Greene,1
BK27,Bath Beach,SI37,Stapleton-Rosebank,1
BK27,Bath Beach,BK23,West Brighton,1
BK27,Bath Beach,QN27,East Elmhurst,1
BK27,Bath Beach,SI11,Charleston-Richmond Valley-Tottenville,1
BK27,Bath Beach,QN66,Laurelton,1
BK27,Bath Beach,BK75,Bedford,1
BK27,Bath Beach,BX29,Spuyten Duyvil-Kingsbridge,1
BK27,Bath Beach,QN53,Woodhaven,1
BK27,Bath Beach,BX35,Morrisania-Melrose,1
BK27,Bath Beach,BK78,Bushwick South,1
BK27,Bath Beach,MN50,Stuyvesant Town-Cooper Village,1
BK27,Bath Beach,BK93,Starrett City,1
BK27,Bath Beach,BK82,East New York,1
BK27,Bath Beach,BK58,Flatlands,1
BK27,Bath Beach,BK64,Prospect Heights,1
BK27,Bath Beach,QN38,Pomonok-Flushing Heights-Hillcrest,1
BK27,Bath Beach,SI22,West New Brighton-New Brighton-St. George,1
BK27,Bath Beach,QN70,Astoria,1
BK31,Bay Ridge,QN48,Auburndale,1
BK31,Bay Ridge,BX22,North Riverdale-Fieldston-Riverdale,1
BK31,Bay Ridge,QN60,Kew Gardens,1
BK31,Bay Ridge,QN23,College Point,1
BK31,Bay Ridge,QN06,Jamaica Estates-Holliswood,1
BK31,Bay Ridge,QN49,Whitestone,1
BK31,Bay Ridge,BX08,West Farms-Bronx River,1
BK31,Bay Ridge,QN53,Woodhaven,1
BK31,Bay Ridge,QN41,Fresh Meadows-Utopia,1
BK31,Bay Ridge,BX46,Parkchester,1
BK31,Bay Ridge,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1
BK31,Bay Ridge,BX05,Bedford Park-Fordham North,1
BK31,Bay Ridge,QN08,St. Albans,1
BK31,Bay Ridge,BX14,East Concourse-Concourse Village,1
BK31,Bay Ridge,BX06,Belmont,1
BK31,Bay Ridge,QN56,Ozone Park,1
BK31,Bay Ridge,QN76,Baisley Park,1
BK31,Bay Ridge,BX26,Highbridge,1
BK31,Bay Ridge,MN01,Marble Hill-Inwood,1
BK31,Bay Ridge,BX28,Van Cortlandt Village,1
BK31,Bay Ridge,QN52,East Flushing,1
BK31,Bay Ridge,QN34,Queens Village,1
BK31,Bay Ridge,SI11,Charleston-Richmond Valley-Tottenville,1
BK31,Bay Ridge,QN15,Far Rockaway-Bayswater,1
BK31,Bay Ridge,BK93,Starrett City,1
BK31,Bay Ridge,QN05,Rosedale,1
BK31,Bay Ridge,QN26,North Corona,1
QN46,Bayside-Bayside Hills,QN68,Queensbridge-Ravenswood-Long Island City,1
QN46,Bayside-Bayside Hills,BX29,Spuyten Duyvil-Kingsbridge,1
QN46,Bayside-Bayside Hills,QN18,Rego Park,1
QN46,Bayside-Bayside Hills,BX63,West Concourse,1
QN46,Bayside-Bayside Hills,BX59,Westchester-Unionport,1
QN46,Bayside-Bayside Hills,BK58,Flatlands,1
QN46,Bayside-Bayside Hills,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1
QN46,Bayside-Bayside Hills,BK82,East New York,1
QN46,Bayside-Bayside Hills,BX10,Pelham Bay-Country Club-City Island,1
QN46,Bayside-Bayside Hills,BX22,North Riverdale-Fieldston-Riverdale,1
QN46,Bayside-Bayside Hills,BK61,Crown Heights North,1
QN46,Bayside-Bayside Hills,BK73,North Side-South Side,1
QN46,Bayside-Bayside Hills,QN33,Cambria Heights,1
QN46,Bayside-Bayside Hills,MN32,Yorkville,1
QN46,Bayside-Bayside Hills,QN07,Hollis,1
QN46,Bayside-Bayside Hills,BK33,Carroll Gardens-Columbia Street-Red Hook,1
QN46,Bayside-Bayside Hills,MN50,Stuyvesant Town-Cooper Village,1
