nta_code,nta_name,p_avg_trip_dist,pickups,d_avg_trip_dist,dropoffs,,,,Filter Used,trip_distance between 0 and 50
QN52,East Flushing,4.59,441,10.19,10247,,,,,
QN53,Woodhaven,5.11,2543,9.32,26946,,,,,
QN54,Richmond Hill,5.07,4977,9.26,30683,,,,,
QN55,South Ozone Park,7.24,7663,10.25,54466,,,,,
QN56,Ozone Park,6.24,1518,9.45,12301,,,,,
QN57,Lindenwood-Howard Beach,7.59,1087,10.25,14633,,,,,
QN60,Kew Gardens,5.34,8675,9.09,38824,,,,,
QN61,Jamaica,10.4,11463,8.87,35042,,,,,
QN62,Queensboro Hill,4.39,2285,8.88,14879,,,,,
QN63,Woodside,3.68,104491,4.81,204780,,,,,
QN66,Laurelton,5.36,238,9.15,7353,,,,,
QN68,Queensbridge-Ravenswood-Long Island City,3.39,220764,3.82,254410,,,,,
QN70,Astoria,3.54,412428,4.68,849643,,,,,
QN71,Old Astoria,3.81,141819,4.9,255935,,,,,
QN72,Steinway,4.06,153178,5.58,403242,,,,,
QN76,Baisley Park,13.83,22774,7.39,35132,,,,,
QN99,park-cemetery-etc-Queens,6.48,36982,7.77,63314,,,,,
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,4.89,55,25.72,1028,,,,,
SI05,New Springville-Bloomfield-Travis,4.45,339,19.75,3630,,,,,
SI07,Westerleigh,3.9,238,17.91,2413,,,,,
SI08,Grymes Hill-Clifton-Fox Hills,5.68,104,17.75,1839,,,,,
SI11,Charleston-Richmond Valley-Tottenville,6.95,30,29.77,664,,,,,
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,4.49,111,21.39,1272,,,,,
SI14,Grasmere-Arrochar-Ft. Wadsworth,5.02,253,15.68,3271,,,,,
SI22,West New Brighton-New Brighton-St. George,3.54,158,18.85,2649,,,,,
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2.59,1285,14.77,3902,,,,,
SI25,Oakwood-Oakwood Beach,3.27,21,21.23,946,,,,,
SI28,Port Richmond,4.03,43,20.35,766,,,,,
SI32,Rossville-Woodrow,4.38,22,27.37,651,,,,,
SI35,New Brighton-Silver Lake,4.52,75,18.42,1818,,,,,
SI36,Old Town-Dongan Hills-South Beach,5.4,120,17.28,2855,,,,,
SI37,Stapleton-Rosebank,3.89,210,16.38,2860,,,,,
SI45,New Dorp-Midland Beach,5.16,67,19.18,1668,,,,,
SI48,Arden Heights,2.75,224,21.94,997,,,,,
SI54,Great Kills,5.17,28,23.2,1398,,,,,
SI99,park-cemetery-etc-Staten Island,3.56,6,11.25,15,,,,,
